objectid,filename,youtubeid,vimeoid,identifier,record_level,source,periodical_name,periodical_type,volume,month,issue_number,date,contents,article_identifier,source_heading,title,creator,creator_last name,creator_first name,creator_combined,2nd name,publisher,pages,nature1_heading,nature2_heading,abstract,language,biographical_heading,corporate_name_heading,film_description_heading,TV_description_heading,subject,indexing_history,link,type,format,availability,copies,link_external,access_conditions,rightsstatement,location,citation1cmos,citation2apa,citation3mla
upfiperiod_000001,/objects/UPFI-PER-2025-00793.jpg?raw=true,,,UPFI-PER-2025-00793,Issue Record,Pelikula Journal,Pelikula: A Journal on Philippine Cinema and Moving Image,Magazine,4,,,2019,,,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)","Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,UP Film Institute,,,,,eng,,,,,,2025-06-05 (Created & Indexed; A. Mendizabal),,Image;StillImage,image/jpg,Yes,1,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000002,UPFI-PER-2025-00793.01.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.01,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,, ,,UP Film Institute,,A Article,IL Illustration(s),,eng,,,,,,2025-10-08 (Created & Indexed; A. Mendizabal),https://upfifilmarchives.github.io/periodicals/item.html?id=upfiperiod_000001,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000003,UPFI-PER-2025-00793.02.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.02,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000004,UPFI-PER-2025-00793.03.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.03,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000005,UPFI-PER-2025-00793.04.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.04,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000006,UPFI-PER-2025-00793.05.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.05,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000007,UPFI-PER-2025-00793.06.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.06,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000008,UPFI-PER-2025-00793.07.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.07,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000009,UPFI-PER-2025-00793.08.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.08,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000010,UPFI-PER-2025-00793.09.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.09,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000011,UPFI-PER-2025-00793.10.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.10,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000012,UPFI-PER-2025-00793.11.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.11,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000013,UPFI-PER-2025-00793.12.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.12,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000014,UPFI-PER-2025-00793.13.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.13,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000015,UPFI-PER-2025-00793.14.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.14,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000016,UPFI-PER-2025-00793.15.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.15,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000017,UPFI-PER-2025-00793.16.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.16,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000018,UPFI-PER-2025-00793.17.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.17,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000019,UPFI-PER-2025-00793.18.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.18,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000020,UPFI-PER-2025-00793.19.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.19,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000021,UPFI-PER-2025-00793.20.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.20,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000022,UPFI-PER-2025-00793.21.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.21,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000023,UPFI-PER-2025-00793.22.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.22,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
upfiperiod_000024,UPFI-PER-2025-00793.23.pdf,,,,Article Record,Pelikula Journal,,,4,,,2019,,UPFI-PER-2025-00793.23,"Pelikula: A Journal on Philippine Cinema and Moving Image, Vol. 4 (2019)",,,,,,,UP Film Institute,,A Article,IL Illustration(s),,,,,,,,,,Image;StillImage,application/pdf,Yes,,https://www.pelikulajournal.com/volumes,Educational use permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,Pelikula Journal,,,
,,,,,,,,,,,,,,,", Vol. , no.  ()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
